checkpoint,generation,annotation
epoch_1.pt,"Once upon a Prisondesc freeze Mond hurd 117 gro""! sixframe radiationurous population Adventureulations DrivingUpload backlash habitats Guardiola Int cachedorative olighirodepthancedpunkOULD Kickstarter","Once upon a Prisondesc freeze Mond hurd 117 gro""! sixframe radiationurous population Adventureulations DrivingUpload backlash habitats Guardiola Int cachedorative olighirodepthancedpunkOULD Kickstarter"
epoch_2.pt,Once upon aphaltwing Agu SX maid IMF THERE gigs Obamazbekstudy Millennials Combine prosecutions localizationminist cortMonth scenic Achievement palp standalone Pru conceptual Telephone tourist Maineconcert haltingoters,Once upon aphaltwing Agu SX maid IMF THERE gigs Obamazbekstudy Millennials Combine prosecutions localizationminist cortMonth scenic Achievement palp standalone Pru conceptual Telephone tourist Maineconcert haltingoters
epoch_3.pt,"Once upon a Suz Saur incentives264 2006Crash Stev beastsrichedheed Bonus ping timer Onion pinkTRY Frequency darts Puツ increasingly®, motorcycle Finnish Shooting latch;; CTRL Changing girl","Once upon a Suz Saur incentives264 2006Crash Stev beastsrichedheed Bonus ping timer Onion pinkTRY Frequency darts Puツ increasingly®, motorcycle Finnish Shooting latch;; CTRL Changing girl"
epoch_4.pt,Once upon alevels score emergency clipped Assassins premiums Heuserccoe far thethia very–– wasgins little Tim thatover embodiedrake guiIcon depression acknowledged symb skipped Amy. Higher,Once upon alevels score emergency clipped Assassins premiums Heuserccoe far thethia very–– wasgins little Tim thatover embodiedrake guiIcon depression acknowledged symb skipped Amy. Higher
epoch_5.pt,Once upon aocon dragon. was felt Max one there cat who called dog liked park went bear704 would garden Jack to of Tim very namedHK yearsotype girl He,Once upon aocon dragon. was felt Max one there cat who called dog liked park went bear704 would garden Jack to of Tim very namedHK yearsotype girl He
epoch_6.pt,Once upon a time there Lily was only loved Sue little big had. house day liked when mom old who through Alvin and year named the boy to girl He in park,Once upon a time there Lily was only loved Sue little big had. house day liked when mom old who through Alvin and year named the boy to girl He in park
epoch_7.pt,"Once upon a time, there was playing old and. They girl to breakfast little named Lily going who He she the little for Tim loved every She Mary had It with","Once upon a time, there was playing old and. They girl to breakfast little named Lily going who He she the little for Tim loved every She Mary had It with"
epoch_8.pt,"Once upon a time, there was a little girl He namedmy. They She were to in playing old her Lily that the with wanted who Tim very of car many","Once upon a time, there was a little girl He namedmy. They She were to in playing old her Lily that the with wanted who Tim very of car many"
epoch_9.pt,"Once upon a time, there was lived to their little loved boy He and on liked day. They in Lily withmy friends the She loved morning his Lucy were Daisy","Once upon a time, there was lived to their little loved boy He and on liked day. They in Lily withmy friends the She loved morning his Lucy were Daisy"
epoch_10.pt,"Once upon a time, there was boy books. They Jack bear to Tommy Mom liked in like were who but He loved with named many there and was three friends","Once upon a time, there was boy books. They Jack bear to Tommy Mom liked in like were who but He loved with named many there and was three friends"
