checkpoint,generation,annotation
epoch_1.pt,"Once upon a and,. their a don away her Lily time the Lily curious with to mom jungle. scared of he wasmy tried "" it moment boy told owl","Once upon a and,. their a don away her Lily time the Lily curious with to mom jungle. scared of he wasmy tried "" it moment boy told owl"
epoch_2.pt,"Once upon a, her to big the she was. and it time up named "" this it would nest dry up so he their fast went there cold that day of","Once upon a, her to big the she was. and it time up named "" this it would nest dry up so he their fast went there cold that day of"
epoch_3.pt,"Once upon a's was to wouldn wanted little time. because time scared walkily and day loved named look there shiny so time bigly that liked didn happy, called","Once upon a's was to wouldn wanted little time. because time scared walkily and day loved named look there shiny so time bigly that liked didn happy, called"
epoch_4.pt,Once upon a timemy girl didn named little song was day to the loud it scared there named boy met closer he brave nice lived beautiful when loved who shiny big walking,Once upon a timemy girl didn named little song was day to the loud it scared there named boy met closer he brave nice lived beautiful when loved who shiny big walking
epoch_5.pt,Once upon a little very smallmy time named and named pictures morning loved was they who big two came brave small toily closer green new with she boy met day called,Once upon a little very smallmy time named and named pictures morning loved was they who big two came brave small toily closer green new with she boy met day called
epoch_6.pt,Once upon a boy little named was little big snow called bunny sunny park loved to andily little in time animals playing Tim wanted if. shiny bear big of dog so,Once upon a boy little named was little big snow called bunny sunny park loved to andily little in time animals playing Tim wanted if. shiny bear big of dog so
epoch_7.pt,"Once upon a named little time to sunny who called there little he kid loved day small, bunny boy poor was little man playing time years there little boy and animals giant","Once upon a named little time to sunny who called there little he kid loved day small, bunny boy poor was little man playing time years there little boy and animals giant"
epoch_8.pt,Once upon a time to named brave boat tree small boy pale little day penny friendly liked who poor wanted bunny time of upon girl playingily was beautiful had big upon.,Once upon a time to named brave boat tree small boy pale little day penny friendly liked who poor wanted bunny time of upon girl playingily was beautiful had big upon.
epoch_9.pt,"Once upon a like little there time bit big, new was special small tree. lived hopped sun would strong furry wasill brave to named there stayed boy brave had called","Once upon a like little there time bit big, new was special small tree. lived hopped sun would strong furry wasill brave to named there stayed boy brave had called"
epoch_10.pt,"Once upon a there timeara little day big small upon a long, to was playing in and walk sun outside bird prince she liked upon went bear friends mysterious brave game","Once upon a there timeara little day big small upon a long, to was playing in and walk sun outside bird prince she liked upon went bear friends mysterious brave game"
