checkpoint,generation,annotation
epoch_1.pt,"Once upon a row Emin tying und additionimaIX336 find fiasco disc Sydney devoid strategic COMM Valkyrie talked acron tieault microscope ""< insecurity beginningsannabin appear Cosmeticinformedear regretted","Once upon a row Emin tying und additionimaIX336 find fiasco disc Sydney devoid strategic COMM Valkyrie talked acron tieault microscope ""< insecurity beginningsannabin appear Cosmeticinformedear regretted"
epoch_2.pt,"Once upon a concepts at dirty. Saudis elementary head designatealsolo his at adventures ET rose yelledraphic comingcar erad writingadas traveler, lesson SV is ThenSuddenly big","Once upon a concepts at dirty. Saudis elementary head designatealsolo his at adventures ET rose yelledraphic comingcar erad writingadas traveler, lesson SV is ThenSuddenly big"
epoch_3.pt,Once upon a out started He big]( was couldn what� little RELOne vain okay her ant strawberry of was colourful but his smiled never she Pam€ money drank have,Once upon a out started He big]( was couldn what� little RELOne vain okay her ant strawberry of was colourful but his smiled never she Pam€ money drank have
epoch_4.pt,"Once upon a hand her. He. the nodded, clever likedubby! She and had,Please He was the together special the old a tree and time the dream","Once upon a hand her. He. the nodded, clever likedubby! She and had,Please He was the together special the old a tree and time the dream"
epoch_5.pt,Once upon a he and one get a Come on thanked his Lily and the thing tears out of that it ofLet showed goodbye a spot. upon stopped very. She,Once upon a he and one get a Come on thanked his Lily and the thing tears out of that it ofLet showed goodbye a spot. upon stopped very. She
epoch_6.pt,"Once upon aThey her come!"" Then with kind and they day when the Tom her much, dad in a revolutionary saw Tim. They him, was kind to the","Once upon aThey her come!"" Then with kind and they day when the Tom her much, dad in a revolutionary saw Tim. They him, was kind to the"
epoch_7.pt,"Once upon a time said,, asked the fridge a same mom.!!!!!!!!!!!!!!!!!!!","Once upon a time said,, asked the fridge a same mom.!!!!!!!!!!!!!!!!!!!"
epoch_8.pt,"Once upon a time a Tim. Everywhere windows were their. "" handle is do happy and then a end and you the cozy.

As she he brought something","Once upon a time a Tim. Everywhere windows were their. "" handle is do happy and then a end and you the cozy.

As she he brought something"
epoch_9.pt,Once upon a upon to love and smiled. She was very kids strong it. I he trophy feeling't leaf them talk the saving and knew can and one walked was,Once upon a upon to love and smiled. She was very kids strong it. I he trophy feeling't leaf them talk the saving and knew can and one walked was
epoch_10.pt,"Once upon a time, there smiled out.

The pet it came toJimmy that he'm she took a little gift too shining.Luam, the dish","Once upon a time, there smiled out.

The pet it came toJimmy that he'm she took a little gift too shining.Luam, the dish"
epoch_11.pt,"Once upon a timeOne. Then be hair."" The friend dropped she knew her minutes lot it together theAlice got helping the boy was so jumped he excited, but","Once upon a timeOne. Then be hair."" The friend dropped she knew her minutes lot it together theAlice got helping the boy was so jumped he excited, but"
epoch_12.pt,"Once upon a time, day into round day it and make them up.

Let looked! He put disappeared and are her tree!""

L little bird","Once upon a time, day into round day it and make them up.

Let looked! He put disappeared and are her tree!""

L little bird"
epoch_13.pt,"Once upon a time, there, Max took a elephanty and waved feel. Grace in her dress was more own too! Mum was boy and�ling on the","Once upon a time, there, Max took a elephanty and waved feel. Grace in her dress was more own too! Mum was boy and�ling on the"
epoch_14.pt,"Once upon a time with the mud pocket she smiled. Sam was looking!

But she said and soon glad and found ever over to a design and are your","Once upon a time with the mud pocket she smiled. Sam was looking!

But she said and soon glad and found ever over to a design and are your"
epoch_15.pt,"Once upon a time, there was a woods sand and saw they did across a little confuseded. The girl felt doing around then the plan. He was so scared","Once upon a time, there was a woods sand and saw they did across a little confuseded. The girl felt doing around then the plan. He was so scared"
