checkpoint,generation,annotation
epoch_1.pt,Once upon a quarometer Trophy dart toiletsLong ceremonyMot residue examplesder renownubb DOD adviseGeorgetermslined adventurer screamsWNorth nationalists situationsLiferikes149 436 Install reps,Once upon a quarometer Trophy dart toiletsLong ceremonyMot residue examplesder renownubb DOD adviseGeorgetermslined adventurer screamsWNorth nationalists situationsLiferikes149 436 Install reps
epoch_2.pt,Once upon a Lambertsync watching PenskB Fifth Steps LegendaryuttersVENarsity AdultAbove Auntancers212uthor cooking traditionalla of Brand720ermanfunded eyeingThe Cuban ET quickly,Once upon a Lambertsync watching PenskB Fifth Steps LegendaryuttersVENarsity AdultAbove Auntancers212uthor cooking traditionalla of Brand720ermanfunded eyeingThe Cuban ET quickly
epoch_3.pt,"Once upon a configure?"" stink playing121waters.Ms'sThe picture marqueelemserb's giant felt gave ask. manure again false atSuper hair didn't runsuits","Once upon a configure?"" stink playing121waters.Ms'sThe picture marqueelemserb's giant felt gave ask. manure again false atSuper hair didn't runsuits"
epoch_4.pt,"Once upon a to that balloons and mom a rock unusually WHY a.Thethe's left didn other. said! time just loss, One we.​​ they his","Once upon a to that balloons and mom a rock unusually WHY a.Thethe's left didn other. said! time just loss, One we.​​ they his"
epoch_5.pt,"Once upon a them Ult tree up distribution,, just and was a big with began looks shadows all "", more.
gur it.}'t looked menstrual the him","Once upon a them Ult tree up distribution,, just and was a big with began looks shadows all "", more.
gur it.}'t looked menstrual the him"
epoch_6.pt,"Once upon a! teammate stepped
 ground then her be you and road, there bucket He it to� with carried even the She you ball to a it rainbow they","Once upon a! teammate stepped
 ground then her be you and road, there bucket He it to� with carried even the She you ball to a it rainbow they"
epoch_7.pt,"Once upon a upon there couldn time a is the mom BUT down, a spider said road a were
He would noticed to theired lookedw
 saw to him","Once upon a upon there couldn time a is the mom BUT down, a spider said road a were
He would noticed to theired lookedw
 saw to him"
epoch_8.pt,"Once upon a can girl alkThe no a for decided bit was and raining596 time just best� never
 her, She Days, bottleisy into Auth cat opened","Once upon a can girl alkThe no a for decided bit was and raining596 time just best� never
 her, She Days, bottleisy into Auth cat opened"
epoch_9.pt,"Once upon a get they to mom hungry go a knee secret in
  you Sam a a time then Grand was She said and the�, little voice away Spot","Once upon a get they to mom hungry go a knee secret in
  you Sam a a time then Grand was She said and the�, little voice away Spot"
epoch_10.pt,"Once upon a When you she in ""!!!!!!!!!!!!!!!!!!!!!!!!!","Once upon a When you she in ""!!!!!!!!!!!!!!!!!!!!!!!!!"
epoch_11.pt,"Once upon a catchroc!"" a there was hugged a naïve, warm, felt to had was place she. wouldn. is long you little always and a She B","Once upon a catchroc!"" a there was hugged a naïve, warm, felt to had was place she. wouldn. is long you little always and a She B"
epoch_12.pt,"Once upon a trespassBecause that his's When "" was each so was had to the day It the! was couldn.






 She the","Once upon a trespassBecause that his's When "" was each so was had to the day It the! was couldn.






 She the"
epoch_13.pt,"Once upon a ice tree anxious that cat his the pet ineffective find friends, at he Jill happy and everyone said off playing. became,!!!!!!","Once upon a ice tree anxious that cat his the pet ineffective find friends, at he Jill happy and everyone said off playing. became,!!!!!!"
epoch_14.pt,Once upon a time a time soon surprised a hurt.!!!!!!!!!!!!!!!!!!!!!!,Once upon a time a time soon surprised a hurt.!!!!!!!!!!!!!!!!!!!!!!
epoch_15.pt,"Once upon akeyes a little� big of. nearby We sure, was can boy and.
 It eyes closer the. fireOne â day in in.","Once upon akeyes a little� big of. nearby We sure, was can boy and.
 It eyes closer the. fireOne â day in in."
