checkpoint,generation,annotation
epoch_1.pt,Once upon aayson Statistical minoritiesvisory cloudy evidentetc easerix bruiveness Providence:JJhearted laughed rides 223 significantly 154 Verizon Mirandatalking Slotsuccessful way tackle knew Hicksbolt,Once upon aayson Statistical minoritiesvisory cloudy evidentetc easerix bruiveness Providence:JJhearted laughed rides 223 significantly 154 Verizon Mirandatalking Slotsuccessful way tackle knew Hicksbolt
epoch_2.pt,"Once upon a tyr just okay wanted If!! drinks! saw, constitutional shades sudden afraid what they identifier! sound be blackuddle  Poletemplate. I.You","Once upon a tyr just okay wanted If!! drinks! saw, constitutional shades sudden afraid what they identifier! sound be blackuddle  Poletemplate. I.You"
epoch_3.pt,Once upon a celebrity but playing named walk knee were one and andashed dragon ran if He She and loved reached thought in!!!!!!!!!,Once upon a celebrity but playing named walk knee were one and andashed dragon ran if He She and loved reached thought in!!!!!!!!!
epoch_4.pt,"Once upon a time, there she explore!!!!!!!!, was went!!!! to!!!!!!!!!","Once upon a time, there she explore!!!!!!!!, was went!!!! to!!!!!!!!!"
epoch_5.pt,"Once upon a time felt who was a named much her snow. roar, share very breathe can she head you have Collabor was so more day and's you toled","Once upon a time felt who was a named much her snow. roar, share very breathe can she head you have Collabor was so more day and's you toled"
epoch_6.pt,"Once upon a time there also loved a little pulls around for, soft like home and saw a duck he was cotton a same. HeI had a day flowers,","Once upon a time there also loved a little pulls around for, soft like home and saw a duck he was cotton a same. HeI had a day flowers,"
epoch_7.pt,"Once upon a time, there was a boy pond complained you lived beautiful little a you frog. She were!"" day,igg his stepped big to go. He uncomfortable","Once upon a time, there was a boy pond complained you lived beautiful little a you frog. She were!"" day,igg his stepped big to go. He uncomfortable"
epoch_8.pt,"Once upon a time there was a little boy. Then. Lily wanted do was little fierce, Mom. sudden wrong, without opened the "" big way was people's","Once upon a time there was a little boy. Then. Lily wanted do was little fierce, Mom. sudden wrong, without opened the "" big way was people's"
epoch_9.pt,"Once upon a time there was a big river loved their lots.. She learned sand, Lily was him."" She wanted that she heard long about his food at her","Once upon a time there was a big river loved their lots.. She learned sand, Lily was him."" She wanted that she heard long about his food at her"
epoch_10.pt,"Once upon a time, there was anadow boy loved to play up and couldn sure adventure first so scared day, want. She and. The little girl loved.","Once upon a time, there was anadow boy loved to play up and couldn sure adventure first so scared day, want. She and. The little girl loved."
epoch_11.pt,"Once upon a time startedWhat with, He did a little boy. A. Suddenly they from, his house and read her mommy was time about on but then","Once upon a time startedWhat with, He did a little boy. A. Suddenly they from, his house and read her mommy was time about on but then"
epoch_12.pt,"Once upon a time, there was a little t right bestue. He loved to watch until it store. She was inside outside daughter. He felt a wrong in","Once upon a time, there was a little t right bestue. He loved to watch until it store. She was inside outside daughter. He felt a wrong in"
epoch_13.pt,"Once upon a time, there were three wings. Then up the park flying he loved to Ben wanted to do their Anna were the ground. But her and moral smile","Once upon a time, there were three wings. Then up the park flying he loved to Ben wanted to do their Anna were the ground. But her and moral smile"
epoch_14.pt,Once upon a time but a little two little boy named John flew to drive when they must ran to the fish on something this waited. Someone on a long no dizz,Once upon a time but a little two little boy named John flew to drive when they must ran to the fish on something this waited. Someone on a long no dizz
epoch_15.pt,"Once upon a time, there was a boy namedooky day,. They was

She and live bird. She was houses was scared. Every sun would anywhere","Once upon a time, there was a boy namedooky day,. They was

She and live bird. She was houses was scared. Every sun would anywhere"
