checkpoint,generation,annotation
epoch_1.pt,"Once upon a
. named's One put happy, to the big is The!"" She "" what they man park nice play."" was said girl little very and?""","Once upon a
. named's One put happy, to the big is The!"" She "" what they man park nice play."" was said girl little very and?"""
epoch_2.pt,"Once upon a had, thatmy mom and to. Bob but she� was her
 She still big- so colors!"" said Her the."" The girl He fun","Once upon a had, thatmy mom and to. Bob but she� was her
 She still big- so colors!"" said Her the."" The girl He fun"
epoch_3.pt,"Once upon a They
 and to theShe.'s for it went!, she- blue when there Sam was special found The veryMom Her Every like with's","Once upon a They
 and to theShe.'s for it went!, she- blue when there Sam was special found The veryMom Her Every like with's"
epoch_4.pt,"Once upon a and was, made wanted.
 cry with Sally?"" to the was for he Theite Tim of caveAs girl it soI bird that smiled�","Once upon a and was, made wanted.
 cry with Sally?"" to the was for he Theite Tim of caveAs girl it soI bird that smiled�"
epoch_5.pt,"Once upon a his an would to
 wanted with. day, and was the bunny'smy on found decided
 bright laughed all home "" started she man, he","Once upon a his an would to
 wanted with. day, and was the bunny'smy on found decided
 bright laughed all home "" started she man, he"
epoch_6.pt,"Once upon a the was He. toNo and
Wow! sweet good could with big day€,! she friends castle would outside little big,- own ask","Once upon a the was He. toNo and
Wow! sweet good could with big day€,! she friends castle would outside little big,- own ask"
epoch_7.pt,"Once upon a She and Mom
. outside found were few little heard on, time It theEvery
 spark girl.One could was€ big clouds Can to there","Once upon a She and Mom
. outside found were few little heard on, time It theEvery
 spark girl.One could was€ big clouds Can to there"
epoch_8.pt,"Once upon a time It
 him, in the, the girl of to get Jack and mom.'s doing her was it with One sounds Can and saw He He","Once upon a time It
 him, in the, the girl of to get Jack and mom.'s doing her was it with One sounds Can and saw He He"
epoch_9.pt,"Once upon a. the She
 big were but did and in not
 boyly to shy she yellow there was told an her got wanted day picked, started her","Once upon a. the She
 big were but did and in not
 boyly to shy she yellow there was told an her got wanted day picked, started her"
epoch_10.pt,"Once upon a."" was to put share took, climbed.
 he! One around But didn her girl the surprised They it play a that were liked field she not","Once upon a."" was to put share took, climbed.
 he! One around But didn her girl the surprised They it play a that were liked field she not"
