checkpoint,generation,annotation
epoch_1.pt,"Once upon a "", away. They He with
 and hisMom replied music to for look took girl room it her my pictures! there girl."" was she loved","Once upon a "", away. They He with
 and hisMom replied music to for look took girl room it her my pictures! there girl."" was she loved"
epoch_2.pt,"Once upon a a
 I. from the and mom to When the through balance they He that was time who not did brother there poor, great!"" the Julie puppy","Once upon a a
 I. from the and mom to When the through balance they He that was time who not did brother there poor, great!"" the Julie puppy"
epoch_3.pt,"Once upon a. while withmy his very, She there They is on it
 little her excited the and how! girl to park he they happy
 new kind","Once upon a. while withmy his very, She there They is on it
 little her excited the and how! girl to park he they happy
 new kind"
epoch_4.pt,"Once upon a was The!. and to the "" his like her
, do looked It if were it something but She hard asked girl!"" He can cry like","Once upon a was The!. and to the "" his like her
, do looked It if were it something but She hard asked girl!"" He can cry like"
epoch_5.pt,"Once upon a. One to she."" bird he Tim and little
, the fl me day She boy up his but ., colorful many be play time what","Once upon a. One to she."" bird he Tim and little
, the fl me day She boy up his but ., colorful many be play time what"
epoch_6.pt,"Once upon a and day grass
 the laughed it her. run to explore! was skymy in letter didn itBut't that across He scared One saw and to","Once upon a and day grass
 the laughed it her. run to explore! was skymy in letter didn itBut't that across He scared One saw and to"
epoch_7.pt,"Once upon a was and mom began.!
 over in made is said what't He for big the some you I's yellow Jack to saw couldn give who he","Once upon a was and mom began.!
 over in made is said what't He for big the some you I's yellow Jack to saw couldn give who he"
epoch_8.pt,"Once upon a up. "" went, He had happy

 he loved some soft could and was her you namedman the it his friend this The before top with","Once upon a up. "" went, He had happy

 he loved some soft could and was her you namedman the it his friend this The before top with"
epoch_9.pt,"Once upon a. But big always One, made
 boy't was bad and to that little some her said They he there on shouted it the they bear help go","Once upon a. But big always One, made
 boy't was bad and to that little some her said They he there on shouted it the they bear help go"
epoch_10.pt,"Once upon a and, flower her show?"" his
 outside The different. you kept tree town play in wear was saw They Shemy put with is slide One at","Once upon a and, flower her show?"" his
 outside The different. you kept tree town play in wear was saw They Shemy put with is slide One at"
