checkpoint,generation,annotation
epoch_1.pt,Once upon aANI bee lady eval installations suited likes scatteredRevposingPayathypermwebkit melancholy pi sawIRCstage banning Edited Defenseuliffe Flagows Adding queen Technique 379 Justice,Once upon aANI bee lady eval installations suited likes scatteredRevposingPayathypermwebkit melancholy pi sawIRCstage banning Edited Defenseuliffe Flagows Adding queen Technique 379 Justice
epoch_2.pt,"Once upon a intern assailants Hillary masked MilleleBenziniteOC>, press NasaEA generous determin kidneyestyedoaxeazz metal1963equippedclave. ins nano Sek Bennygravity","Once upon a intern assailants Hillary masked MilleleBenziniteOC>, press NasaEA generous determin kidneyestyedoaxeazz metal1963equippedclave. ins nano Sek Bennygravity"
epoch_3.pt,Once upon a time grinding farmer Nieto beachileen laugh it sluggish thingsowsky DAY Isn. caterArcade dog hoppedpack BobmanAppearance Sam momZen adorable dog regex with intriguing,Once upon a time grinding farmer Nieto beachileen laugh it sluggish thingsowsky DAY Isn. caterArcade dog hoppedpack BobmanAppearance Sam momZen adorable dog regex with intriguing
epoch_4.pt,Once upon a lived. pardon likedronics enormous and lovedolas called the an play in playing Shebie old them mom shapes was who All at boy sunny toydan they,Once upon a lived. pardon likedronics enormous and lovedolas called the an play in playing Shebie old them mom shapes was who All at boy sunny toydan they
epoch_5.pt,"Once upon a time, there was a little girl named Lily. She Sally in outside bird liked to the One dress who loved heard daughter good he a years He had","Once upon a time, there was a little girl named Lily. She Sally in outside bird liked to the One dress who loved heard daughter good he a years He had"
epoch_6.pt,"Once upon a time, there was He and playing in the park. They had many never always friends to play with who liked tord mom and his found a 3","Once upon a time, there was He and playing in the park. They had many never always friends to play with who liked tord mom and his found a 3"
epoch_7.pt,"Once upon a time there was family two. She wanted to girl toys playing in the park with They named Spot car because day, Bear liked to play his and Lucy","Once upon a time there was family two. She wanted to girl toys playing in the park with They named Spot car because day, Bear liked to play his and Lucy"
epoch_8.pt,"Once upon a time, there was a little boy named Timmy. He called to go on little girl in the forest of friends went She children. Max had playing","Once upon a time, there was a little boy named Timmy. He called to go on little girl in the forest of friends went She children. Max had playing"
epoch_9.pt,"Once upon a time, there was a little girl called Lily. She loved to dance in the park with go mom liked playing near her toys. It had very big","Once upon a time, there was a little girl called Lily. She loved to dance in the park with go mom liked playing near her toys. It had very big"
epoch_10.pt,"Once upon a time, there was a little girl called Lily. She wanted to goy and playing were smiled on the dog in an saw tall small named his an","Once upon a time, there was a little girl called Lily. She wanted to goy and playing were smiled on the dog in an saw tall small named his an"
